UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT,valid_close,valid_hilo,Measure2
DAY,1588291200,267,cadli,BTC-USD,8646.09346578049,9039.13687133586,8625.62094346205,8849.40817807646,1588291200,1588377540,8639.28459581329,9039.13687133586,1588333380,8625.62094346205,1588305780,8849.40817807646,1440,822350.341658941,7240684188.90123,236342.702273542,2083255186.67769,132594.993698036,1166781097.36392,62785.054577714,553038508.062226,True,True,0.02812232171482055
DAY,1588377600,267,cadli,BTC-USD,8849.40817807646,9009.53723507348,8758.81087308432,8982.09057593528,1588377600,1588463940,8838.21895959101,9009.53723507348,1588438140,8758.81087308432,1588414260,8982.09057593528,1440,641284.910440671,5697829317.34066,175486.654886479,1560465675.9331,84691.1126519244,748385784.596048,31624.3957441144,281318836.589664,True,True,0.016949974219983788
DAY,1588464000,267,cadli,BTC-USD,8982.09057593528,9151.55605969384,8736.98885419055,8934.84463316123,1588464000,1588550340,8983.69470956986,9151.55605969384,1588467900,8736.98885419055,1588519260,8934.84463316123,1440,847369.207602362,7608859688.48409,240807.103994385,2161863494.66641,128716.466906991,1155124207.32625,54484.1001443333,489266368.843817,True,True,0.027841008723685997
DAY,1588550400,267,cadli,BTC-USD,8934.84463316123,8976.6737043984,8561.40772951227,8908.78629947007,1588550400,1588636740,8914.24892240699,8976.6737043984,1588630140,8561.40772951227,1588570800,8908.78629947007,1440,835145.950412791,7331277812.76622,248152.023991089,2176306248.14676,133148.915172308,1169100716.07544,59678.2226289285,523289190.483292,True,True,0.02844544400350827
DAY,1588636800,267,cadli,BTC-USD,8908.78629947007,9068.54930900916,8776.60878428771,9017.98016239598,1588636800,1588723140,8889.77422422658,9068.54930900916,1588655100,8776.60878428771,1588680180,9017.98016239598,1440,780033.015941643,6966986452.4785,221242.129969329,1978402538.24209,119767.716969488,1066097633.47763,54446.987209415,486801847.851336,True,True,0.019651694452070528
DAY,1588723200,267,cadli,BTC-USD,9017.98016239598,9446.06036434364,8913.3564656559,9161.25884067051,1588723200,1588809540,9022.93627621696,9446.06036434364,1588806960,8913.3564656559,1588732140,9161.25884067051,1440,841209.369892829,7704990066.83192,298103.864625042,2738359698.31945,159511.467435182,1457756312.96009,83241.7410271116,766494661.710748,True,True,0.03486070636694252
DAY,1588809600,267,cadli,BTC-USD,9161.25884067051,10009.9469237808,9073.69038138216,9971.23131878634,1588809600,1588895940,9143.05648472953,10009.9469237808,1588895220,9073.69038138216,1588809720,9971.23131878634,1440,1091074.51080467,10417323579.0967,404854.501809458,3881544885.98224,213347.036193268,2041461205.37941,120239.437557579,1158840291.65807,True,True,0.05897524951022677
DAY,1588896000,267,cadli,BTC-USD,9971.23131878634,10002.8673550673,9703.86153616049,9801.65390836398,1588896000,1588982340,9993.1036871674,10002.8673550673,1588898760,9703.86153616049,1588921380,9801.65390836398,1440,803375.541600953,7952504820.95221,277804.311123546,2752662508.27387,148264.495947159,1468712284.70789,83954.1332465853,832587072.627565,True,True,0.018225762125364253
DAY,1588982400,267,cadli,BTC-USD,9801.65390836398,9912.5708430186,9542.42100936852,9548.62821173925,1588982400,1589068740,9795.90479733508,9912.5708430186,1588986900,9542.42100936852,1589023680,9548.62821173925,1440,737556.527849187,7150626512.35504,221734.854532534,2151699483.7237,119039.848621442,1150673141.4976,54186.6257277119,525591817.611299,True,True,0.022855261042504734
DAY,1589068800,267,cadli,BTC-USD,9548.62821173925,9548.62821173925,8223.67776212971,8740.4179326506,1589068800,1589155140,9545.30620897577,9545.30620897577,1589068800,8223.67776212971,1589070060,8740.4179326506,1440,1414271.33411518,12294584806.5051,485551.195966422,4217696639.6393,278412.164864745,2414480345.54101,154467.873001827,1339296383.18564,True,True,0.08971181835913444
