UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT,valid_close,valid_hilo,Measure1,Measure2,Measure3
DAY,1588291200,267,cadli,USDT-USD,1.00056781861374,1.00120392444444,0.999599865243811,1.00039169949617,1588291200,1588377540,1.00051874463446,1.00120392444444,1588332000,0.999599865243811,1588364100,1.00039169949617,1329,10156136.0107832,10160555.1426756,8155337.84958325,8159393.63855336,10156136.0107832,10160555.1426756,8155337.84958325,8159393.63855336,True,True,0.00039169949616990607,0.0009629489276284811,1329
DAY,1588377600,267,cadli,USDT-USD,1.00039169949617,1.00123065939615,1.00015606653131,1.00083041324345,1588377600,1588463940,1.00042709431818,1.00123065939615,1588430400,1.00015606653131,1588378140,1.00083041324345,1296,7634357.66483536,7639386.80193019,6025031.58983536,6029368.96274014,7634357.66483536,7639386.80193019,6025031.58983536,6029368.96274014,True,True,0.0008304132434500122,0.0006449116892767097,1296
DAY,1588464000,267,cadli,USDT-USD,1.00083041324345,1.00105949147562,1.00015542166538,1.00067925084309,1588464000,1588550340,1.0008076148127,1.00105949147562,1588468200,1.00015542166538,1588542300,1.00067925084309,1282,10003284.4590515,10009290.6770862,8950365.49245154,8955801.84317782,10003284.4590515,10009290.6770862,8950365.49245154,8955801.84317782,True,True,0.0006792508430899513,0.0005426196731438466,1282
DAY,1588550400,267,cadli,USDT-USD,1.00067925084309,1.00136999558337,1.00034271167964,1.0007658155047,1588550400,1588636740,1.00065653590714,1.00136999558337,1588624020,1.00034271167964,1588587720,1.0007658155047,1386,20924880.0718148,20937399.2855164,18055221.2749145,18065439.7855724,20924880.0718148,20937399.2855164,18055221.2749145,18065439.7855724,True,True,0.000765815504699896,0.0006164190399576143,1386
DAY,1588636800,267,cadli,USDT-USD,1.0007658155047,1.00118507628776,1.00013292279299,1.00060709525546,1588636800,1588723140,1.00055492151784,1.00118507628776,1588639020,1.00013292279299,1588676700,1.00060709525546,1322,9787481.7770578,9792139.81569237,7007644.2713578,7013480.24370236,9787481.7770578,9792139.81569237,7007644.2713578,7013480.24370236,True,True,0.0006070952554599884,0.0006314664921134254,1322
DAY,1588723200,267,cadli,USDT-USD,1.00060709525546,1.00124838384592,1.00032812373149,1.00096311613839,1588723200,1588809540,1.0004019809881,1.00124838384592,1588768740,1.00032812373149,1588737720,1.00096311613839,1279,12431918.7410361,12442395.4859143,8375211.72215603,8382848.52301501,12431918.7410361,12442395.4859143,8375211.72215603,8382848.52301501,True,True,0.0009631161383900633,0.0005522372585083297,1279
DAY,1588809600,267,cadli,USDT-USD,1.00096311613839,1.00133134284572,1.00036691563631,1.00114099587239,1588809600,1588895940,1.00097131469312,1.00133134284572,1588877400,1.00036691563631,1588861740,1.00114099587239,1331,16964275.2035096,16977341.1829553,12605579.9989095,12617559.7927629,16964275.2035096,16977341.1829553,12605579.9989095,12617559.7927629,True,True,0.001140995872390027,0.0005787062148813327,1331
DAY,1588896000,267,cadli,USDT-USD,1.00114099587239,1.0014573887058,1.0005924413793,1.00074589625873,1588896000,1588982340,1.00114494372745,1.0014573887058,1588975860,1.0005924413793,1588919340,1.00074589625873,1404,16929572.005339,16944640.0889425,13938640.9335396,13951787.3289445,16929572.005339,16944640.0889425,13938640.9335396,13951787.3289445,True,True,0.0007458962587298945,0.0005189219895054559,1404
DAY,1588982400,267,cadli,USDT-USD,1.00074589625873,1.00084438915707,1.00004591434355,1.00006831824011,1588982400,1589068740,1.00071726851608,1.00084438915707,1588989360,1.00004591434355,1589033400,1.00006831824011,1361,13848105.3076242,13852387.3542445,12323505.2028243,12327821.8499901,13848105.3076242,13852387.3542445,12323505.2028243,12327821.8499901,True,True,6.83182401099991e-05,0.0004793196511585064,1361
DAY,1589068800,267,cadli,USDT-USD,1.00006831824011,1.00085904526694,0.999615409729981,1.00035184809287,1589068800,1589155140,1.00000444845336,1.00085904526694,1589127780,0.999615409729981,1589070060,1.00035184809287,1398,30335985.3724517,30347762.5498468,23816580.4064516,23827345.4821685,30335985.3724517,30347762.5498468,23816580.4064516,23827345.4821685,True,True,0.0003518480928699219,0.0007467022138204792,1398
