asset,kind,date,M2
DAI,max,2020-08-11 00:00:00+00:00,0.04574113898671296
DAI,max,2023-03-11 00:00:00+00:00,0.06976095243196971
DAI,max,2020-08-12 00:00:00+00:00,0.07235071805839972
DAI,min,2022-09-11 00:00:00+00:00,0.00011120943503316096
DAI,min,2023-06-04 00:00:00+00:00,0.00018782724543333279
DAI,min,2023-01-22 00:00:00+00:00,0.00022561188445791578
USDT,max,2022-11-11 00:00:00+00:00,0.012617180094077593
USDT,max,2022-11-10 00:00:00+00:00,0.02290750297346094
USDT,max,2022-05-12 00:00:00+00:00,0.026557299642145246
USDT,min,2022-12-18 00:00:00+00:00,5.556600192932429e-05
USDT,min,2022-09-03 00:00:00+00:00,7.428561944845576e-05
USDT,min,2023-03-05 00:00:00+00:00,7.542969818288355e-05
