step,shock,response,irf
0,Bitcoin_Volatility,Bitcoin_Volatility,1.0
0,Bitcoin_Volatility,USDT_Measure1,0.0
0,Bitcoin_Volatility,DAI_Measure1,0.0
0,USDT_Measure1,Bitcoin_Volatility,0.0
0,USDT_Measure1,USDT_Measure1,1.0
0,USDT_Measure1,DAI_Measure1,0.0
0,DAI_Measure1,Bitcoin_Volatility,0.0
0,DAI_Measure1,USDT_Measure1,0.0
0,DAI_Measure1,DAI_Measure1,1.0
1,Bitcoin_Volatility,Bitcoin_Volatility,0.29682230331055554
1,Bitcoin_Volatility,USDT_Measure1,0.0018662866606787014
1,Bitcoin_Volatility,DAI_Measure1,0.0007250043753335404
1,USDT_Measure1,Bitcoin_Volatility,0.12125313598960602
1,USDT_Measure1,USDT_Measure1,0.6558966612378695
1,USDT_Measure1,DAI_Measure1,-0.18667874790663327
1,DAI_Measure1,Bitcoin_Volatility,-0.20999843839745863
1,DAI_Measure1,USDT_Measure1,-0.014534207796371969
1,DAI_Measure1,DAI_Measure1,0.45269936274396383
2,Bitcoin_Volatility,Bitcoin_Volatility,0.17833840973258452
2,Bitcoin_Volatility,USDT_Measure1,0.002361332733230301
2,Bitcoin_Volatility,DAI_Measure1,-0.0011175519300544508
2,USDT_Measure1,Bitcoin_Volatility,2.9466583164036053
2,USDT_Measure1,USDT_Measure1,0.46648671209105086
2,USDT_Measure1,DAI_Measure1,0.22814971129182463
2,DAI_Measure1,Bitcoin_Volatility,-0.43307876480075813
2,DAI_Measure1,USDT_Measure1,-0.008458356907207736
2,DAI_Measure1,DAI_Measure1,0.3097326083025292
3,Bitcoin_Volatility,Bitcoin_Volatility,0.11900013995459996
3,Bitcoin_Volatility,USDT_Measure1,0.0008523143886007341
3,Bitcoin_Volatility,DAI_Measure1,0.0028601928973646528
3,USDT_Measure1,Bitcoin_Volatility,3.0278473296993322
3,USDT_Measure1,USDT_Measure1,0.3903587678684318
3,USDT_Measure1,DAI_Measure1,0.14267230601834235
3,DAI_Measure1,Bitcoin_Volatility,-0.05738759282497791
3,DAI_Measure1,USDT_Measure1,-0.0038873158116398653
3,DAI_Measure1,DAI_Measure1,0.36240764052829433
4,Bitcoin_Volatility,Bitcoin_Volatility,0.19326396600013301
4,Bitcoin_Volatility,USDT_Measure1,0.000436502380878873
4,Bitcoin_Volatility,DAI_Measure1,0.004101267410302021
4,USDT_Measure1,Bitcoin_Volatility,0.9670326028613874
4,USDT_Measure1,USDT_Measure1,0.3345868986716969
4,USDT_Measure1,DAI_Measure1,0.16428702401006662
4,DAI_Measure1,Bitcoin_Volatility,0.01962846610039233
4,DAI_Measure1,USDT_Measure1,-0.014174366715723188
4,DAI_Measure1,DAI_Measure1,0.3469633902328736
5,Bitcoin_Volatility,Bitcoin_Volatility,0.11152936852395624
5,Bitcoin_Volatility,USDT_Measure1,0.001146646846172081
5,Bitcoin_Volatility,DAI_Measure1,0.0016603044826921222
5,USDT_Measure1,Bitcoin_Volatility,2.958579616500289
5,USDT_Measure1,USDT_Measure1,0.2745655832429068
5,USDT_Measure1,DAI_Measure1,0.14161660916308727
5,DAI_Measure1,Bitcoin_Volatility,0.04545692323588185
5,DAI_Measure1,USDT_Measure1,-0.003921534230296198
5,DAI_Measure1,DAI_Measure1,0.2876314229017869
6,Bitcoin_Volatility,Bitcoin_Volatility,0.1451570867523852
6,Bitcoin_Volatility,USDT_Measure1,6.138170019070175e-05
6,Bitcoin_Volatility,DAI_Measure1,0.0018892993943950501
6,USDT_Measure1,Bitcoin_Volatility,1.442858875960911
6,USDT_Measure1,USDT_Measure1,0.2862690427929431
6,USDT_Measure1,DAI_Measure1,0.22407241391478416
6,DAI_Measure1,Bitcoin_Volatility,-0.2875356842057736
6,DAI_Measure1,USDT_Measure1,0.00032510187823262264
6,DAI_Measure1,DAI_Measure1,0.2955997957066861
7,Bitcoin_Volatility,Bitcoin_Volatility,0.2455092862780631
7,Bitcoin_Volatility,USDT_Measure1,-0.0008542640386752918
7,Bitcoin_Volatility,DAI_Measure1,0.0015759819411740356
7,USDT_Measure1,Bitcoin_Volatility,0.12052629782420632
7,USDT_Measure1,USDT_Measure1,0.2761586446210237
7,USDT_Measure1,DAI_Measure1,0.19235784466675965
7,DAI_Measure1,Bitcoin_Volatility,-0.083639940160416
7,DAI_Measure1,USDT_Measure1,0.0020525360090145385
7,DAI_Measure1,DAI_Measure1,0.3596807189250246
8,Bitcoin_Volatility,Bitcoin_Volatility,0.16549509165635995
8,Bitcoin_Volatility,USDT_Measure1,-0.0003625771994383501
8,Bitcoin_Volatility,DAI_Measure1,0.0017220319961286591
8,USDT_Measure1,Bitcoin_Volatility,0.1427623578090168
8,USDT_Measure1,USDT_Measure1,0.24199214338811667
8,USDT_Measure1,DAI_Measure1,0.20000336750879177
8,DAI_Measure1,Bitcoin_Volatility,-0.08252743994094358
8,DAI_Measure1,USDT_Measure1,0.0019141502502153396
8,DAI_Measure1,DAI_Measure1,0.324468273046831
9,Bitcoin_Volatility,Bitcoin_Volatility,0.1166537096914075
9,Bitcoin_Volatility,USDT_Measure1,-9.227650937123426e-05
9,Bitcoin_Volatility,DAI_Measure1,0.0011514784751679211
9,USDT_Measure1,Bitcoin_Volatility,1.0300295115216385
9,USDT_Measure1,USDT_Measure1,0.21201286353713686
9,USDT_Measure1,DAI_Measure1,0.24137796679968723
9,DAI_Measure1,Bitcoin_Volatility,-0.1659889298358782
9,DAI_Measure1,USDT_Measure1,0.0038982494709529636
9,DAI_Measure1,DAI_Measure1,0.30322570705449253
10,Bitcoin_Volatility,Bitcoin_Volatility,0.10526434511121492
10,Bitcoin_Volatility,USDT_Measure1,-0.00036121254814955404
10,Bitcoin_Volatility,DAI_Measure1,0.0020642286425274162
10,USDT_Measure1,Bitcoin_Volatility,0.8558551740275153
10,USDT_Measure1,USDT_Measure1,0.19172285093245656
10,USDT_Measure1,DAI_Measure1,0.23990322313265874
10,DAI_Measure1,Bitcoin_Volatility,-0.10033712253213209
10,DAI_Measure1,USDT_Measure1,0.003753211395445985
10,DAI_Measure1,DAI_Measure1,0.30342571527798
