step,shock,response,irf
0,Bitcoin_Volatility,Bitcoin_Volatility,1.0
0,Bitcoin_Volatility,USDT_Measure1,0.0
0,Bitcoin_Volatility,DAI_Measure1,0.0
0,USDT_Measure1,Bitcoin_Volatility,0.0
0,USDT_Measure1,USDT_Measure1,1.0
0,USDT_Measure1,DAI_Measure1,0.0
0,DAI_Measure1,Bitcoin_Volatility,0.0
0,DAI_Measure1,USDT_Measure1,0.0
0,DAI_Measure1,DAI_Measure1,1.0
1,Bitcoin_Volatility,Bitcoin_Volatility,0.3193675461359252
1,Bitcoin_Volatility,USDT_Measure1,0.0017217529063547278
1,Bitcoin_Volatility,DAI_Measure1,0.0003338831001994794
1,USDT_Measure1,Bitcoin_Volatility,-0.4116066187200419
1,USDT_Measure1,USDT_Measure1,0.663116224959509
1,USDT_Measure1,DAI_Measure1,-0.13182497100589657
1,DAI_Measure1,Bitcoin_Volatility,-0.22048218973148564
1,DAI_Measure1,USDT_Measure1,-0.013868341930299805
1,DAI_Measure1,DAI_Measure1,0.4671516389787021
2,Bitcoin_Volatility,Bitcoin_Volatility,0.20946712767721634
2,Bitcoin_Volatility,USDT_Measure1,0.0020082484279429717
2,Bitcoin_Volatility,DAI_Measure1,-0.0014402208398251364
2,USDT_Measure1,Bitcoin_Volatility,2.5709682169129646
2,USDT_Measure1,USDT_Measure1,0.47509381484193847
2,USDT_Measure1,DAI_Measure1,0.2803621102169864
2,DAI_Measure1,Bitcoin_Volatility,-0.48655923253769584
2,DAI_Measure1,USDT_Measure1,-0.0075585183358872505
2,DAI_Measure1,DAI_Measure1,0.32914508256924213
3,Bitcoin_Volatility,Bitcoin_Volatility,0.16737397724864886
3,Bitcoin_Volatility,USDT_Measure1,0.00038622400931665867
3,Bitcoin_Volatility,DAI_Measure1,0.0032418976247684944
3,USDT_Measure1,Bitcoin_Volatility,2.1825608791608966
3,USDT_Measure1,USDT_Measure1,0.4064508890097094
3,USDT_Measure1,DAI_Measure1,0.19161121760300945
3,DAI_Measure1,Bitcoin_Volatility,-0.10128429880710399
3,DAI_Measure1,USDT_Measure1,-0.0027073077952231833
3,DAI_Measure1,DAI_Measure1,0.4039104382083939
4,Bitcoin_Volatility,Bitcoin_Volatility,0.2438239807936893
4,Bitcoin_Volatility,USDT_Measure1,-2.331007641677863e-05
4,Bitcoin_Volatility,DAI_Measure1,0.004349042324281448
4,USDT_Measure1,Bitcoin_Volatility,-0.10532074259042279
4,USDT_Measure1,USDT_Measure1,0.3570758089394934
4,USDT_Measure1,DAI_Measure1,0.25692870284228486
4,DAI_Measure1,Bitcoin_Volatility,-0.04198297432482717
4,DAI_Measure1,USDT_Measure1,-0.011192104732443042
4,DAI_Measure1,DAI_Measure1,0.41460596961722435
5,Bitcoin_Volatility,Bitcoin_Volatility,0.19787936286561497
5,Bitcoin_Volatility,USDT_Measure1,0.00019094989328045695
5,Bitcoin_Volatility,DAI_Measure1,0.0005642114441732774
5,USDT_Measure1,Bitcoin_Volatility,1.0998244842049334
5,USDT_Measure1,USDT_Measure1,0.3338773642189488
5,USDT_Measure1,DAI_Measure1,0.2460650322072091
5,DAI_Measure1,Bitcoin_Volatility,-0.13380965789429305
5,DAI_Measure1,USDT_Measure1,0.0014619633878434606
5,DAI_Measure1,DAI_Measure1,0.4064717361915992
6,Bitcoin_Volatility,Bitcoin_Volatility,0.14275039339298878
6,Bitcoin_Volatility,USDT_Measure1,0.0004259933373303296
6,Bitcoin_Volatility,DAI_Measure1,0.001057571155787081
6,USDT_Measure1,Bitcoin_Volatility,1.4577758081515029
6,USDT_Measure1,USDT_Measure1,0.29143876349372805
6,USDT_Measure1,DAI_Measure1,0.26622649118168823
6,DAI_Measure1,Bitcoin_Volatility,-0.22549812286266313
6,DAI_Measure1,USDT_Measure1,0.0032228128344403816
6,DAI_Measure1,DAI_Measure1,0.3717822593677977
7,Bitcoin_Volatility,Bitcoin_Volatility,0.11960399721146486
7,Bitcoin_Volatility,USDT_Measure1,0.0002351342010458036
7,Bitcoin_Volatility,DAI_Measure1,0.0019333129030212396
7,USDT_Measure1,Bitcoin_Volatility,1.5264804732603177
7,USDT_Measure1,USDT_Measure1,0.260860978761053
7,USDT_Measure1,DAI_Measure1,0.29455926094022344
7,DAI_Measure1,Bitcoin_Volatility,-0.15697152724188945
7,DAI_Measure1,USDT_Measure1,0.0022483277836391384
7,DAI_Measure1,DAI_Measure1,0.36399406159654973
8,Bitcoin_Volatility,Bitcoin_Volatility,0.11026611386116711
8,Bitcoin_Volatility,USDT_Measure1,7.889971655200036e-05
8,Bitcoin_Volatility,DAI_Measure1,0.002302779904578724
8,USDT_Measure1,Bitcoin_Volatility,1.2137781105494645
8,USDT_Measure1,USDT_Measure1,0.2309548622157544
8,USDT_Measure1,DAI_Measure1,0.2996634966484029
8,DAI_Measure1,Bitcoin_Volatility,-0.09016717408172054
8,DAI_Measure1,USDT_Measure1,0.0034644447528026654
8,DAI_Measure1,DAI_Measure1,0.3568284617986808
9,Bitcoin_Volatility,Bitcoin_Volatility,0.09643392667125722
9,Bitcoin_Volatility,USDT_Measure1,9.203044042142738e-05
9,Bitcoin_Volatility,DAI_Measure1,0.0018854122548087563
9,USDT_Measure1,Bitcoin_Volatility,1.1201444383262507
9,USDT_Measure1,USDT_Measure1,0.20454077469115012
9,USDT_Measure1,DAI_Measure1,0.31946393262165845
9,DAI_Measure1,Bitcoin_Volatility,-0.12404232172303797
9,DAI_Measure1,USDT_Measure1,0.004679087987273664
9,DAI_Measure1,DAI_Measure1,0.34599845282292113
10,Bitcoin_Volatility,Bitcoin_Volatility,0.07925871848448213
10,Bitcoin_Volatility,USDT_Measure1,7.774731301143506e-05
10,Bitcoin_Volatility,DAI_Measure1,0.0016710272413792832
10,USDT_Measure1,Bitcoin_Volatility,1.1616829455297686
10,USDT_Measure1,USDT_Measure1,0.1811961126087431
10,USDT_Measure1,DAI_Measure1,0.32635022824210486
10,DAI_Measure1,Bitcoin_Volatility,-0.12739499476227614
10,DAI_Measure1,USDT_Measure1,0.006083282181126918
10,DAI_Measure1,DAI_Measure1,0.33474567494400914
